Representation,Embedding_Model,Clustering_Algorithm,K_or_Params,ARI,NMI,Silhouette,Noise_Fraction
concatenate,allenai-scibert_scivocab_uncased,gmm,9,0.3005390580759057,0.4437122022248602,0.0613693855702877,
concatenate,allenai-scibert_scivocab_uncased,gmm,10,0.2674872426300183,0.4326728754301366,0.053364660590887,
concatenate,allenai-scibert_scivocab_uncased,gmm,11,0.2653207530688601,0.429239110285862,0.0535247176885604,
concatenate,allenai-scibert_scivocab_uncased,gmm,12,0.2373409571928108,0.4236088260381784,0.052388098090887,
concatenate,allenai-scibert_scivocab_uncased,hdbscan,5,0.6919564855368585,0.7272013364771535,0.1972236186265945,0.8354
concatenate,allenai-scibert_scivocab_uncased,hdbscan,10,0.7286366496626391,0.718614244767436,0.2428372949361801,0.8496
concatenate,allenai-scibert_scivocab_uncased,hdbscan,20,0.7376316025723166,0.7229365075095806,0.2644961178302765,0.882
concatenate,allenai-scibert_scivocab_uncased,hdbscan,30,0.7167788404954424,0.7203179670547329,0.2644824683666229,0.8832
concatenate,allenai-scibert_scivocab_uncased,hdbscan,50,0.397925551126659,0.4338924231771517,0.2537754476070404,0.8546
concatenate,allenai-scibert_scivocab_uncased,hdbscan,100,0.0,0.0,0.0,1.0
concatenate,allenai-specter,kmeans,3,0.3894476650021315,0.4123100923484241,0.0827001854777336,
concatenate,allenai-specter,kmeans,4,0.4944130820671794,0.4768944971440342,0.083378866314888,
concatenate,allenai-specter,kmeans,5,0.3736864911378063,0.4661543686548289,0.0813601315021514,
concatenate,allenai-specter,kmeans,6,0.3413957163704857,0.4519757637450903,0.0812343135476112,
concatenate,allenai-specter,kmeans,7,0.3774389381638112,0.4834634284845981,0.0717845484614372,
concatenate,allenai-specter,kmeans,8,0.3304323420355244,0.4662055957186337,0.066554345190525,
concatenate,allenai-specter,kmeans,9,0.2769288001384143,0.4554273822118882,0.0657102763652801,
concatenate,allenai-specter,kmeans,10,0.2631998069748224,0.4502751151359053,0.0658179819583892,
concatenate,allenai-specter,kmeans,11,0.2440620773505603,0.4528196681905407,0.0666396096348762,
concatenate,allenai-specter,kmeans,12,0.2570807101119023,0.4592112551463661,0.062787041068077,
concatenate,allenai-specter,gmm,3,0.3894476650021315,0.4123100923484241,0.0827001854777336,
concatenate,allenai-specter,gmm,4,0.4951771184859521,0.4752289314029265,0.0834573879837989,
concatenate,allenai-specter,gmm,5,0.3736864911378063,0.4661543686548289,0.0813601315021514,
concatenate,allenai-specter,gmm,6,0.341810093513978,0.4517005561413625,0.0812424346804618,
concatenate,allenai-specter,gmm,7,0.3045517519009921,0.4374023396971097,0.0668306797742843,
concatenate,allenai-specter,gmm,8,0.3396159284209197,0.4798307635222016,0.0678320825099945,
concatenate,allenai-specter,gmm,9,0.2771077765430477,0.4555654421051719,0.0655729323625564,
concatenate,allenai-specter,gmm,10,0.2631998069748224,0.4502751151359053,0.0658179819583892,
